,n_estimators,learning_rate,max_depth,subsample,fitness
0,304,0.49513767754328947,10,0.4125686310743456,0.852881698685541
1,314,0.49513767754328947,10,0.4125686310743456,0.8543983822042467
2,384,0.26677783105526853,3,0.7342235735568808,0.8690596562184024
3,384,0.3067778310552685,3,0.7342235735568808,0.8766430738119313
4,384,0.3067778310552685,3,0.7842235735568809,0.8822042467138523
5,394,0.3067778310552685,3,0.7842235735568809,0.8832153690596563
6,414,0.3067778310552685,3,0.7842235735568809,0.8842264914054601
7,424,0.3067778310552685,3,0.7842235735568809,0.884732052578362
8,825,0.09687200850864267,10,0.7122738819307083,0.8867542972699697
9,825,0.056872008508642664,10,0.7122738819307083,0.8892821031344793
10,825,0.056872008508642664,11,0.7122738819307083,0.8938321536905965
11,825,0.016872008508642664,11,0.7122738819307083,0.8958543983822043
12,835,0.016872008508642664,11,0.7122738819307083,0.8963599595551062
13,316,0.09339488035317314,5,0.6883077758178562,0.8968655207280081
14,306,0.09339488035317314,5,0.6883077758178562,0.89737108190091
15,296,0.09339488035317314,5,0.6883077758178562,0.8988877654196158
16,286,0.09339488035317314,5,0.6883077758178562,0.8998988877654196
