,n_estimators,learning_rate,max_depth,subsample,fitness
0,89,0.411195944454155,12,0.2991094273982877,0.8276036400404448
1,89,0.411195944454155,12,0.3491094273982877,0.8372093023255814
2,89,0.411195944454155,12,0.3991094273982877,0.8442871587462083
3,89,0.37119594445415505,12,0.3991094273982877,0.8629929221435794
4,706,0.4331740882777286,9,0.41174573526429886,0.8645096056622852
5,854,0.17812850430729568,4,0.5531236322700918,0.8776541961577351
6,864,0.17812850430729568,4,0.5531236322700918,0.8786653185035389
7,874,0.17812850430729568,4,0.5531236322700918,0.8791708796764408
8,884,0.17812850430729568,4,0.5531236322700918,0.8801820020222447
9,544,0.38928305085255394,10,0.7790385847275684,0.8872598584428716
10,170,0.17196125989499153,12,0.810231059268436,0.8928210313447927
11,170,0.13196125989499152,12,0.810231059268436,0.8938321536905965
12,160,0.13196125989499152,12,0.810231059268436,0.8948432760364005
13,577,0.24659494837894178,6,0.9725712326673942,0.8968655207280081
14,587,0.24659494837894178,6,0.9725712326673942,0.89737108190091
