,n_estimators,learning_rate,max_depth,subsample,fitness
0,895,0.23606802722830902,11,0.2542554488789903,0.8584428715874621
1,895,0.23606802722830902,11,0.3042554488789903,0.8614762386248737
2,895,0.19606802722830902,11,0.3042554488789903,0.8645096056622852
3,895,0.19606802722830902,11,0.3542554488789903,0.8670374115267947
4,895,0.19606802722830902,11,0.4042554488789903,0.8766430738119313
5,895,0.156068027228309,11,0.4042554488789903,0.878159757330637
6,885,0.156068027228309,11,0.4042554488789903,0.8791708796764408
7,865,0.156068027228309,11,0.4042554488789903,0.8796764408493428
8,74,0.02349254680903041,9,0.32662751913156235,0.8816986855409504
9,84,0.02349254680903041,9,0.32662751913156235,0.8822042467138523
10,94,0.02349254680903041,9,0.32662751913156235,0.8832153690596563
11,102,0.24922397110258435,8,0.7472106152295568,0.8872598584428716
12,92,0.24922397110258435,8,0.7472106152295568,0.8877654196157735
13,504,0.26136220038090163,5,0.8413702320528627,0.8887765419615774
14,946,0.3101178702006263,8,0.9921210904559594,0.8892821031344793
15,435,0.3460852941786526,11,0.9485138272197995,0.8923154701718908
16,445,0.3460852941786526,11,0.9485138272197995,0.8933265925176946
17,227,0.03888499727935068,12,0.9682617553587756,0.8948432760364005
18,227,0.07888499727935068,12,0.9682617553587756,0.8998988877654196
19,247,0.07888499727935068,12,0.9682617553587756,0.9009100101112234
